id,eq1,eq2,label,an45c_predicted,an38_predicted
hard3_0360,x * x = y * ((y * z) * w),x * y = z * (w * y),FALSE,FALSE,TRUE
hard3_0371,x * x = (y * z) * (z * w),x * (y * z) = y * (x * z),FALSE,FALSE,TRUE
hard3_0373,x * y = (x * y) * (z * w),x * x = x * (y * (z * y)),FALSE,FALSE,TRUE
hard3_0376,x * y = (z * x) * (y * z),x * (x * y) = x * (y * x),TRUE,TRUE,FALSE
hard3_0383,x * y = (y * (z * x)) * y,x * y = ((y * y) * y) * y,FALSE,FALSE,TRUE
hard3_0385,x * x = ((y * y) * z) * w,x * x = (x * x) * x,TRUE,TRUE,FALSE
hard3_0388,x * y = ((z * x) * w) * y,x * y = (z * x) * y,TRUE,TRUE,FALSE
hard3_0391,x * (x * x) = (y * z) * y,(x * y) * z = (y * x) * z,FALSE,FALSE,TRUE
hard3_0392,x * (x * y) = (x * z) * w,x * (y * x) = (x * x) * y,FALSE,FALSE,TRUE
hard3_0395,x * (y * z) = (z * y) * y,x * (x * x) = y * (z * y),TRUE,TRUE,FALSE
hard3_0396,x * (y * z) = (w * x) * y,x * (y * z) = (x * w) * y,TRUE,TRUE,FALSE
